"rank","code","code_orig","count","source"
"153","aio_otfp","aio_otfp","2141","https://stats.lineageos.org/"
"154","starlte","starlte","2139","https://stats.lineageos.org/"
"155","lt01wifi","lt01wifi","2073","https://stats.lineageos.org/"
"156","addison","addison","2036","https://stats.lineageos.org/"
"157","clark","clark","2034","https://stats.lineageos.org/"
"158","n5110","n5110","2029","https://stats.lineageos.org/"
"159","n5100","n5100","1944","https://stats.lineageos.org/"
"160","A16C3H","A16C3H","1937","https://stats.lineageos.org/"
"161","natrium","natrium","1928","https://stats.lineageos.org/"
"162","yuga","yuga","1893","https://stats.lineageos.org/"
"163","oxygen","oxygen","1893","https://stats.lineageos.org/"
"164","himaul","himaul","1882","https://stats.lineageos.org/"
"165","phhgsi_arm_a","phhgsi_arm_a","1861","https://stats.lineageos.org/"
"166","trelte","treltexx","1861","https://stats.lineageos.org/"
"167","montana","montana","1857","https://stats.lineageos.org/"
"168","crackling","crackling","1854","https://stats.lineageos.org/"
"169","star2lte","star2lte","1847","https://stats.lineageos.org/"
"170","griffin","griffin","1821","https://stats.lineageos.org/"
"171","tomato","tomato","1818","https://stats.lineageos.org/"
"172","tenderloin","tenderloin","1811","https://stats.lineageos.org/"
"173","markw","markw","1798","https://stats.lineageos.org/"
"174","karatep","karatep","1788","https://stats.lineageos.org/"
"175","a7y17lte","a7y17lte","1782","https://stats.lineageos.org/"
"176","odroidxu3","odroidxu3","1770","https://stats.lineageos.org/"
"177","phhgsi_arm64_a","phhgsi_arm64_a","1729","https://stats.lineageos.org/"
"178","zenfone3","zenfone3","1704","https://stats.lineageos.org/"
"179","a3lte","a3ltexx","1687","https://stats.lineageos.org/"
"180","pioneer","pioneer","1678","https://stats.lineageos.org/"
"181","huashan","huashan","1645","https://stats.lineageos.org/"
"182","ford","ford","1626","https://stats.lineageos.org/"
"183","daisy","daisy","1612","https://stats.lineageos.org/"
"184","prada","prada","1604","https://stats.lineageos.org/"
"185","ether","ether","1589","https://stats.lineageos.org/"
"186","cherry","cherry","1578","https://stats.lineageos.org/"
"187","suzuran","suzuran","1574","https://stats.lineageos.org/"
"188","hydrogen","hydrogen","1568","https://stats.lineageos.org/"
"189","a5y17lte","a5y17lte","1527","https://stats.lineageos.org/"
"190","ugg","ugg","1527","https://stats.lineageos.org/"
"191","nx551j","nx551j","1487","https://stats.lineageos.org/"
"192","tulip","tulip","1462","https://stats.lineageos.org/"
"193","ocn","ocn","1450","https://stats.lineageos.org/"
"194","s5neolte","s5neolte","1443","https://stats.lineageos.org/"
"195","gts28vewifi","gts28vewifi","1437","https://stats.lineageos.org/"
"196","alice","alice","1427","https://stats.lineageos.org/"
"197","jason","jason","1427","https://stats.lineageos.org/"
"198","chagalllte","chagalllte","1425","https://stats.lineageos.org/"
"199","v1awifi","v1awifi","1394","https://stats.lineageos.org/"
"200","find7","find7","1392","https://stats.lineageos.org/"
"201","mata","mata","1392","https://stats.lineageos.org/"
"202","ovation","ovation","1387","https://stats.lineageos.org/"
"203","T00F","T00F","1375","https://stats.lineageos.org/"
